CSDUID,CSDNAME,Type,Price,Bedrooms,Bathrooms,Hydro,Heat,Water,Size,Agreement Type,Population,Province,combined_coordinates
3501005,South Glengarry,Apartment,1425.0,2.0,1.0,0,1,1,950.0,1 Year,14211,Ontario,"45.2561615,-74.5953852"
3501005,South Glengarry,Apartment,1100.0,2.0,1.0,0,0,1,780.0,1 Year,14211,Ontario,"45.1920027,-74.3746039"
3501005,South Glengarry,House,2700.0,3.0,2.5,0,1,1,2200.0,1 Year,14211,Ontario,"45.146672,-74.579565"
3501005,South Glengarry,House,1200.0,2.0,1.5,0,0,1,900.0,1 Year,14211,Ontario,"45.143726,-74.502708"
3501005,South Glengarry,House,4000.0,2.5,3.0,0,1,1,1400.0,1 Year,14211,Ontario,"45.0689727,-74.5428728"
3501005,South Glengarry,Apartment,1695.0,1.0,1.0,1,1,1,850.0,1 Year,14211,Ontario,"45.059039,-74.558464"
3501005,South Glengarry,Apartment,1095.0,1.0,1.0,0,0,1,600.0,1 Year,14211,Ontario,"45.1359806,-74.6195878"
3501005,South Glengarry,House,2180.0,2.0,2.0,0,0,1,1200.0,1 Year,14211,Ontario,"45.2561615,-74.5953852"
3501005,South Glengarry,Townhouse,2400.0,2.5,2.0,0,0,0,1466.0,1 Year,14211,Ontario,"45.1545916,-74.7106339"
3501011,South Stormont,House,2340.0,2.0,2.0,0,0,0,1950.0,1 Year,13903,Ontario,"45.030398,-74.890559"
3501011,South Stormont,Apartment,1400.0,2.0,1.0,0,0,1,900.0,1 Year,13903,Ontario,"45.030398,-74.890559"
3501011,South Stormont,Apartment,1000.0,1.0,1.0,0,0,1,800.0,1 Year,13903,Ontario,"45.030398,-74.890559"
3501011,South Stormont,Apartment,1200.0,2.0,1.0,0,0,1,500.0,1 Year,13903,Ontario,"45.030398,-74.890559"
3501011,South Stormont,Apartment,1400.0,2.0,1.0,0,0,1,900.0,1 Year,13903,Ontario,"45.030398,-74.890559"
3501011,South Stormont,Apartment,1400.0,2.0,1.0,0,0,1,1200.0,1 Year,13903,Ontario,"45.030398,-74.890559"
